swipe,score,tier,family,title,raw_url,source
1,B,UNPROVEN,BEFORE & AFTER,THE STACKED NATIVE SELFIE,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_01.jpg,
2,B,UNPROVEN,TESTIMONIAL,THE QUOTE CARD,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_02.jpg,
3,A,UNPROVEN,FEATURES & BENEFITS,THE FEATURE ANNOTATION,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_03.jpg,
4,D,BANNED,BANNED,LIFESTYLE WALLPAPER,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_04.jpg,
5,B,UNPROVEN,ARTIFACT / HERO,THE ARTIFACT MACRO,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_05.jpg,
6,B,UNPROVEN,iPhone NOTES,THE NATIVE SOCIAL CARD,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_06.jpg,
7,A,UNPROVEN,US VS THEM,THE REJECTION SPLIT,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_07.jpg,
8,C,UNPROVEN,TESTIMONIAL,THE REVIEW STACK,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_08.jpg,
9,A,UNPROVEN,INGREDIENT / MECHANISM,THE MECHANISM BAR,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_09.jpg,
10,A,UNPROVEN,FEATURES & BENEFITS,THE ZOOM CALLOUT,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_10.jpg,
11,A,UNPROVEN,BOLD CLAIM,THE OVERSIZED DECLARATION,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_11.jpg,
12,D,BANNED,BANNED,CHEAP DROPSHIP,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_12.jpg,
13,D,BANNED,BANNED,THE BANNED STACK,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_13.jpg,
14,B,UNPROVEN,ARTIFACT / HERO,THE EDITORIAL PORTRAIT,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_14.jpg,
15,B,UNPROVEN,BOLD CLAIM,THE STAT PLUS CONSEQUENCE,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_15.jpg,
16,C,UNPROVEN,FEATURES & BENEFITS,THE ICON BENEFIT STACK,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_16.jpg,
17,A,UNPROVEN,ARTIFACT / HERO,"THE APPLIED STATE, CALM",https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_17.jpg,
18,A,UNPROVEN,AUTHORITY FRAME,THE PUBLIC NOTICE,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_18.jpg,
19,B,UNPROVEN,AUTHORITY FRAME,THE HONEST FOOTNOTE,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_19.jpg,
20,A,UNPROVEN,AUTHORITY FRAME,THE PROFESSIONAL-USE FRAME,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_20.jpg,
21,C,UNPROVEN,—,NEAR-COMPETITOR,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_21.jpg,
22,C,UNPROVEN,—,NEAR-COMPETITOR,https://raw.githubusercontent.com/YassineCoyote/novexa-swipe-library/main/swipe_22.jpg,
